Month,1M,6M,12M
Jan-99,0,0,3.06
Feb-99,0,0,3.03
Mar-99,0,0,3.05
Apr-99,0,0,2.76
May-99,0,0,2.68
Jun-99,0,0,2.84
Jul-99,0,0,3.03
Aug-99,0,0,3.24
Sep-99,0,0,3.3
Oct-99,0,0,3.68
Nov-99,0,0,3.69
Dec-99,0,0,3.83
Jan-00,0,0,3.95
Feb-00,0,0,4.11
Mar-00,0,0,4.27
Apr-00,0,0,4.37
May-00,0,0,4.85
Jun-00,0,0,4.97
Jul-00,0,0,5.11
Aug-00,0,0,5.25
Sep-00,0,0,5.22
Oct-00,0,0,5.22
Nov-00,0,0,5.19
Dec-00,0,0,4.88
1-Jan,0,0,4.57
1-Feb,0,0,4.59
1-Mar,0,0,4.47
1-Apr,0,0,4.48
1-May,0,0,4.52
1-Jun,0,0,4.31
1-Jul,0,0,4.31
1-Aug,0,0,4.11
1-Sep,0,0,3.77
1-Oct,0,0,3.37
1-Nov,0,0,3.2
1-Dec,0,0,3.3
2-Jan,0,0,3.48
2-Feb,0,0,3.59
2-Mar,0,0,3.82
2-Apr,0,0,3.86
2-May,0,0,3.96
2-Jun,0,0,3.87
2-Jul,0,0,3.65
2-Aug,0,0,3.44
2-Sep,0,0,3.24
2-Oct,0,0,3.13
2-Nov,0,0,3.02
2-Dec,0,0,2.87
3-Jan,0,0,2.71
3-Feb,0,0,2.5
3-Mar,0,0,2.41
3-Apr,0,0,2.45
3-May,0,0,2.25
3-Jun,0,0,2.01
3-Jul,0,0,2.08
3-Aug,0,0,2.28
3-Sep,0,0,2.26
3-Oct,0,0,2.3
3-Nov,0,0,2.41
3-Dec,0,0,2.38
4-Jan,0,0,2.22
4-Feb,0,0,2.16
4-Mar,0,0,2.06
4-Apr,0,0,2.16
4-May,0,0,2.3
4-Jun,0,0,2.4
4-Jul,0,0,2.36
4-Aug,0,0,2.3
4-Sep,0,0,2.38
4-Oct,0,0,2.32
4-Nov,0,0,2.33
4-Dec,0,0,2.3
5-Jan,0,0,2.31
5-Feb,0,0,2.31
5-Mar,0,0,2.34
5-Apr,0,0,2.27
5-May,0,0,2.19
5-Jun,0,0,2.1
5-Jul,0,0,2.17
5-Aug,0,0,2.22
5-Sep,0,0,2.22
5-Oct,0,0,2.41
5-Nov,0,0,2.68
5-Dec,0,0,2.78
6-Jan,0,0,2.83
6-Feb,0,0,2.91
6-Mar,0,0,3.11
6-Apr,0,0,3.22
6-May,0,0,3.31
6-Jun,0,0,3.4
6-Jul,0,0,3.54
6-Aug,0,0,3.62
6-Sep,0,0,3.72
6-Oct,0,0,3.8
6-Nov,0,0,3.86
6-Dec,0,0,3.92
7-Jan,0,0,4.06
7-Feb,0,0,4.09
7-Mar,0,0,4.11
7-Apr,0,0,4.25
7-May,0,0,4.37
7-Jun,0,0,4.51
7-Jul,0,0,4.56
7-Aug,0,0,4.67
7-Sep,0,0,4.72
7-Oct,0,0,4.65
7-Nov,0,0,4.61
7-Dec,0,0,4.79
8-Jan,0,0,4.5
8-Feb,0,0,4.35
8-Mar,0,0,4.59
8-Apr,0,0,4.82
8-May,0,0,4.99
8-Jun,0,0,5.36
8-Jul,0,0,5.39
8-Aug,0,0,5.32
8-Sep,0,0,5.38
8-Oct,0,0,5.25
8-Nov,0,0,4.35
8-Dec,0,0,3.45
9-Jan,0,0,2.62
9-Feb,0,0,2.14
9-Mar,0,0,1.91
9-Apr,0,0,1.77
9-May,0,0,1.64
9-Jun,0,0,1.61
9-Jul,0,0,1.41
9-Aug,0,0,1.33
9-Sep,0,0,1.26
9-Oct,0,0,1.24
9-Nov,0,0,1.23
9-Dec,0,0,1.24
10-Jan,0,0,1.23
10-Feb,0,0,1.23
10-Mar,0,0,1.22
10-Apr,0,0,1.23
10-May,0,0,1.25
10-Jun,0,0,1.28
10-Jul,0,0,1.37
10-Aug,0,0,1.42
10-Sep,0,0,1.42
10-Oct,0,0,1.5
10-Nov,0,0,1.54
10-Dec,0,0,1.53
11-Jan,0,0,1.55
11-Feb,0,0,1.71
11-Mar,0,0,1.92
11-Apr,0,0,2.09
11-May,0,0,2.15
11-Jun,0,0,2.14
11-Jul,0,0,2.18
11-Aug,0,0,2.1
11-Sep,0,0,2.07
11-Oct,0,0,2.11
11-Nov,0,0,2.04
11-Dec,0,0,2
12-Jan,0,0,1.84
12-Feb,0,0,1.68
12-Mar,0,0,1.5
12-Apr,0,0,1.37
12-May,0,0,1.27
12-Jun,0,0,1.22
12-Jul,0,0,1.06
12-Aug,0,0,0.88
12-Sep,0,0,0.74
12-Oct,0,0,0.65
12-Nov,0,0,0.59
12-Dec,0,0,0.55
13-Jan,0,0,0.58
13-Feb,0,0,0.59
13-Mar,0,0,0.55
13-Apr,0,0,0.53
13-May,0,0,0.48
13-Jun,0,0,0.51
13-Jul,0,0,0.53
13-Aug,0,0,0.54
13-Sep,0,0,0.54
13-Oct,0,0,0.54
13-Nov,0,0,0.51
13-Dec,0,0,0.54
14-Jan,0,0,0.56
14-Feb,0,0,0.55
14-Mar,0,0,0.58
14-Apr,0,0,0.6
14-May,0,0,0.59
14-Jun,0,0,0.51
14-Jul,0,0,0.49
14-Aug,0,0,0.47
14-Sep,0,0,0.36
14-Oct,0,0,0.34
14-Nov,0,0,0.34
14-Dec,0,0,0.33
15-Jan,0,0,0.3
15-Feb,0,0,0.26
15-Mar,0,0,0.21
15-Apr,0,0,0.18
15-May,0,0,0.17
15-Jun,0,0,0.16
15-Jul,0,0,0.17
15-Aug,0,0,0.16
15-Sep,0,0,0.15
15-Oct,0,0,0.13
15-Nov,0,0,0.08
15-Dec,0,0,0.06
16-Jan,0,0,0.04
16-Feb,0,0,-0.01
16-Mar,0,0,-0.01
16-Apr,0,0,-0.01
16-May,0,0,-0.01
16-Jun,0,0,-0.03
16-Jul,0,0,-0.06
16-Aug,0,0,-0.05
16-Sep,0,0,-0.06
16-Oct,0,0,-0.07
16-Nov,0,0,-0.07
16-Dec,0,0,-0.08
17-Jan,0,0,-0.1
17-Feb,0,0,-0.11
17-Mar,0,0,-0.11
17-Apr,0,0,-0.12
17-May,0,0,-0.13
17-Jun,0,0,-0.15
17-Jul,0,0,-0.15
17-Aug,0,0,-0.16
17-Sep,0,0,-0.17
17-Oct,0,0,-0.18
17-Nov,0,0,-0.19
17-Dec,0,0,-0.19
18-Jan,0,0,-0.19
18-Feb,0,0,-0.19
18-Mar,0,0,-0.19
18-Apr,0,0,-0.19
18-May,0,0,-0.19
18-Jun,0,0,-0.18
18-Jul,0,0,-0.18
18-Aug,0,0,-0.17
18-Sep,0,0,-0.17
18-Oct,0,0,-0.15
18-Nov,0,0,-0.15
18-Dec,0,0,-0.13
19-Jan,0,0,-0.12
19-Feb,0,0,-0.11
19-Mar,0,0,-0.11
19-Apr,0,0,-0.11
19-May,0,0,-0.13
19-Jun,0,0,-0.19
19-Jul,0,0,-0.28
19-Aug,0,0,-0.36
19-Sep,0,0,-0.34
19-Oct,0,0,-0.3
19-Nov,0,0,-0.27
19-Dec,0,0,-0.26
20-Jan,0,0,-0.25
20-Feb,0,0,-0.29
20-Mar,0,0,-0.27
20-Apr,0,0,-0.11
20-May,0,0,-0.08
20-Jun,0,0,-0.15
20-Jul,0,0,-0.28
20-Aug,0,0,-0.36
20-Sep,0,0,-0.42
20-Oct,0,0,-0.47
20-Nov,0,0,-0.48
20-Dec,0,0,-0.5
21-Jan,-0.55,-0.53,-0.51
21-Feb,-0.54,-0.52,-0.5
21-Mar,-0.54,-0.52,-0.49
21-Apr,-0.54,-0.52,-0.48
21-May,-0.54,-0.51,-0.48
21-Jun,-0.54,-0.52,-0.48
21-Jul,-0.55,-0.52,-0.49
21-Aug,-0.55,-0.53,-0.5
21-Sep,-0.55,-0.52,-0.49
21-Oct,-0.55,-0.53,-0.48
21-Nov,-0.57,-0.53,-0.49
21-Dec,-0.58,-0.55,-0.5
22-Jan,-0.56,-0.53,-0.48
22-Feb,-0.53,-0.48,-0.34
22-Mar,-0.5,-0.42,-0.24
22-Apr,-0.45,-0.31,0.01
22-May,-0.39,-0.14,0.29
22-Jun,-0.24,0.16,0.85
22-Jul,0.04,0.47,0.99
22-Aug,0.4,0.84,1.25
22-Sep,1.01,1.6,2.23
22-Oct,1.43,2,2.63
22-Nov,1.83,2.32,2.83
22-Dec,2.06,2.56,3.02
23-Jan,2.35,2.86,3.34
23-Feb,2.64,3.14,3.53
23-Mar,2.91,3.27,3.65
23-Apr,3.18,3.52,3.76
23-May,3.37,3.68,3.86
23-Jun,3.54,3.83,4.01
23-Jul,3.67,3.94,4.15
23-Aug,3.78,3.94,4.07
23-Sep,3.88,4.03,4.15
23-Oct,3.97,4.12,4.16
